song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Lookdown - Biblethump Remix,Levianth,spotify:track:6sntCwwgpACZWHGNyAmOpo,0.232,0.182,1,-15.733,1,0.0341,0.792,0.203,0.136,0.0731,165.157,audio_features,6sntCwwgpACZWHGNyAmOpo,spotify:track:6sntCwwgpACZWHGNyAmOpo,https://api.spotify.com/v1/tracks/6sntCwwgpACZWHGNyAmOpo,https://api.spotify.com/v1/audio-analysis/6sntCwwgpACZWHGNyAmOpo,190553,4
Freak N You (feat. Lil Wayne & Gunna),DJ Khaled,spotify:track:162m1yKHRfrbqrbbh96aPY,0.66,0.771,10,-5.233,0,0.128,0.00437,3.07e-05,0.29,0.527,91.023,audio_features,162m1yKHRfrbqrbbh96aPY,spotify:track:162m1yKHRfrbqrbbh96aPY,https://api.spotify.com/v1/tracks/162m1yKHRfrbqrbbh96aPY,https://api.spotify.com/v1/audio-analysis/162m1yKHRfrbqrbbh96aPY,186360,4
Blank Marquee,Yuna,spotify:track:4Ipmi2u1eQ45RaYk4Rl512,0.849,0.77,9,-6.054,1,0.058,0.404,0.000213,0.15,0.889,113.324,audio_features,4Ipmi2u1eQ45RaYk4Rl512,spotify:track:4Ipmi2u1eQ45RaYk4Rl512,https://api.spotify.com/v1/tracks/4Ipmi2u1eQ45RaYk4Rl512,https://api.spotify.com/v1/audio-analysis/4Ipmi2u1eQ45RaYk4Rl512,220773,4
Sans (re)Pères,SNIPER,spotify:track:28GKxsXwDnfPb6q6lF7iUd,0.595,0.689,11,-7.286,0,0.102,0.191,0,0.0898,0.481,89.899,audio_features,28GKxsXwDnfPb6q6lF7iUd,spotify:track:28GKxsXwDnfPb6q6lF7iUd,https://api.spotify.com/v1/tracks/28GKxsXwDnfPb6q6lF7iUd,https://api.spotify.com/v1/audio-analysis/28GKxsXwDnfPb6q6lF7iUd,301240,4
On My Mind (acoustic),Preditah,spotify:track:4ktAIutrCjL3oD9rR1aEWU,0.559,0.352,1,-6.807,1,0.0362,0.847,1.5e-06,0.103,0.548,134.253,audio_features,4ktAIutrCjL3oD9rR1aEWU,spotify:track:4ktAIutrCjL3oD9rR1aEWU,https://api.spotify.com/v1/tracks/4ktAIutrCjL3oD9rR1aEWU,https://api.spotify.com/v1/audio-analysis/4ktAIutrCjL3oD9rR1aEWU,176919,4
Robbery,Juice WRLD,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,audio_features,6Hj9jySrnFppAI0sEMCZpJ,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/tracks/6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/audio-analysis/6Hj9jySrnFppAI0sEMCZpJ,240051,5
End Of The Road,Juice WRLD,spotify:track:24BNgrtp6Fag4M5BQPEgsV,0.373,0.717,1,-5.833,0,0.083,0.0568,0,0.114,0.293,109.977,audio_features,24BNgrtp6Fag4M5BQPEgsV,spotify:track:24BNgrtp6Fag4M5BQPEgsV,https://api.spotify.com/v1/tracks/24BNgrtp6Fag4M5BQPEgsV,https://api.spotify.com/v1/audio-analysis/24BNgrtp6Fag4M5BQPEgsV,162981,5
Lean On (feat. MØ & DJ Snake),Major Lazer,spotify:track:2YWjW3wwQIBLNhxWKBQd16,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,2YWjW3wwQIBLNhxWKBQd16,spotify:track:2YWjW3wwQIBLNhxWKBQd16,https://api.spotify.com/v1/tracks/2YWjW3wwQIBLNhxWKBQd16,https://api.spotify.com/v1/audio-analysis/2YWjW3wwQIBLNhxWKBQd16,176561,4
Waves - Robin Schulz Radio Edit,Mr. Probz,spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,audio_features,5Sf3GyLEAzJXxZ5mbCPXTu,spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu,https://api.spotify.com/v1/tracks/5Sf3GyLEAzJXxZ5mbCPXTu,https://api.spotify.com/v1/audio-analysis/5Sf3GyLEAzJXxZ5mbCPXTu,208133,4
My Ex,PnB Rock,spotify:track:5jAoztNBtwy0twwBRE5pAm,0.411,0.523,9,-7.063,1,0.259,0.754,0,0.137,0.532,81.793,audio_features,5jAoztNBtwy0twwBRE5pAm,spotify:track:5jAoztNBtwy0twwBRE5pAm,https://api.spotify.com/v1/tracks/5jAoztNBtwy0twwBRE5pAm,https://api.spotify.com/v1/audio-analysis/5jAoztNBtwy0twwBRE5pAm,170393,4
