song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Run Away,dvsn,spotify:track:0xD824qQkuonQNHe2dSeI4,0.764,0.33,2,-12.801,0,0.0427,0.1,0.506,0.139,0.0686,119.978,audio_features,0xD824qQkuonQNHe2dSeI4,spotify:track:0xD824qQkuonQNHe2dSeI4,https://api.spotify.com/v1/tracks/0xD824qQkuonQNHe2dSeI4,https://api.spotify.com/v1/audio-analysis/0xD824qQkuonQNHe2dSeI4,140293,4
L$D,A$AP Rocky,spotify:track:4S7YHmlWwfwArgd8LfSPud,0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,audio_features,4S7YHmlWwfwArgd8LfSPud,spotify:track:4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/tracks/4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/audio-analysis/4S7YHmlWwfwArgd8LfSPud,238307,4
Studio,ScHoolboy Q,spotify:track:29gsi1zZrZxdStACmTQB0Z,0.709,0.589,8,-7.776,0,0.0433,0.0507,0,0.0585,0.58,133.922,audio_features,29gsi1zZrZxdStACmTQB0Z,spotify:track:29gsi1zZrZxdStACmTQB0Z,https://api.spotify.com/v1/tracks/29gsi1zZrZxdStACmTQB0Z,https://api.spotify.com/v1/audio-analysis/29gsi1zZrZxdStACmTQB0Z,278067,3
OTW,Khalid,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,audio_features,6Hgh47WXVKtXN5zGOu0hjI,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,263014,4
Silence,Marshmello,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,audio_features,7vGuf3Y35N4wmASOKLUVVU,spotify:track:7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,180823,4
I Fall Apart,Post Malone,spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,0.565,0.55,8,-5.357,0,0.0397,0.0782,0,0.196,0.302,143.927,audio_features,2mdxJLJHzFmiiYdTZ8JcyH,spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,https://api.spotify.com/v1/tracks/2mdxJLJHzFmiiYdTZ8JcyH,https://api.spotify.com/v1/audio-analysis/2mdxJLJHzFmiiYdTZ8JcyH,223347,4
Psycho (feat. Ty Dolla $ign),Post Malone,spotify:track:7wrDRQgHlvDnimrRHfQZxt,0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,audio_features,7wrDRQgHlvDnimrRHfQZxt,spotify:track:7wrDRQgHlvDnimrRHfQZxt,https://api.spotify.com/v1/tracks/7wrDRQgHlvDnimrRHfQZxt,https://api.spotify.com/v1/audio-analysis/7wrDRQgHlvDnimrRHfQZxt,220880,4
Congratulations,Post Malone,spotify:track:6syOdAs4IK8kPWR7gDyjRw,0.629,0.817,6,-4.261,1,0.0357,0.199,0,0.317,0.466,123.087,audio_features,6syOdAs4IK8kPWR7gDyjRw,spotify:track:6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/tracks/6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/audio-analysis/6syOdAs4IK8kPWR7gDyjRw,220293,4
Go Flex,Post Malone,spotify:track:2rgP2WKh9eDa5boVA4ez4T,0.668,0.49,5,-8.274,1,0.119,0.253,0,0.0718,0.122,81.985,audio_features,2rgP2WKh9eDa5boVA4ez4T,spotify:track:2rgP2WKh9eDa5boVA4ez4T,https://api.spotify.com/v1/tracks/2rgP2WKh9eDa5boVA4ez4T,https://api.spotify.com/v1/audio-analysis/2rgP2WKh9eDa5boVA4ez4T,179613,4
Too Young,Post Malone,spotify:track:7mF7fA6DsIMAJy9O0TDWV3,0.606,0.631,11,-6.475,0,0.0607,0.293,7.95e-05,0.0834,0.265,123.018,audio_features,7mF7fA6DsIMAJy9O0TDWV3,spotify:track:7mF7fA6DsIMAJy9O0TDWV3,https://api.spotify.com/v1/tracks/7mF7fA6DsIMAJy9O0TDWV3,https://api.spotify.com/v1/audio-analysis/7mF7fA6DsIMAJy9O0TDWV3,237147,4
Pony,Ginuwine,spotify:track:6mz1fBdKATx6qP4oP1I65G,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,audio_features,6mz1fBdKATx6qP4oP1I65G,spotify:track:6mz1fBdKATx6qP4oP1I65G,https://api.spotify.com/v1/tracks/6mz1fBdKATx6qP4oP1I65G,https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G,251733,4
Differences,Ginuwine,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,0.562,0.594,3,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,audio_features,0Uyh92tLyb9JawG8lmWCzJ,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/tracks/0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/audio-analysis/0Uyh92tLyb9JawG8lmWCzJ,265533,4
In Those Jeans,Ginuwine,spotify:track:5ojJNnX5ND2gMGojPd3NiO,0.691,0.541,1,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,audio_features,5ojJNnX5ND2gMGojPd3NiO,spotify:track:5ojJNnX5ND2gMGojPd3NiO,https://api.spotify.com/v1/tracks/5ojJNnX5ND2gMGojPd3NiO,https://api.spotify.com/v1/audio-analysis/5ojJNnX5ND2gMGojPd3NiO,243307,4
Suga Suga,Baby Bash,spotify:track:00LfFm08VWeZwB0Zlm24AT,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,audio_features,00LfFm08VWeZwB0Zlm24AT,spotify:track:00LfFm08VWeZwB0Zlm24AT,https://api.spotify.com/v1/tracks/00LfFm08VWeZwB0Zlm24AT,https://api.spotify.com/v1/audio-analysis/00LfFm08VWeZwB0Zlm24AT,239027,4
Often,The Weeknd,spotify:track:5SqSckut3FcoQKmGkMWgp1,0.571,0.612,7,-9.851,0,0.045,0.229,0,0.127,0.0812,133.995,audio_features,5SqSckut3FcoQKmGkMWgp1,spotify:track:5SqSckut3FcoQKmGkMWgp1,https://api.spotify.com/v1/tracks/5SqSckut3FcoQKmGkMWgp1,https://api.spotify.com/v1/audio-analysis/5SqSckut3FcoQKmGkMWgp1,249040,4
Something New (feat. Ty Dolla $ign),Wiz Khalifa,spotify:track:33z5crv3IO5U2BOi8xod92,0.814,0.635,7,-6.609,0,0.0809,0.0935,0,0.0892,0.784,87.581,audio_features,33z5crv3IO5U2BOi8xod92,spotify:track:33z5crv3IO5U2BOi8xod92,https://api.spotify.com/v1/tracks/33z5crv3IO5U2BOi8xod92,https://api.spotify.com/v1/audio-analysis/33z5crv3IO5U2BOi8xod92,200774,4
Promises,Wiz Khalifa,spotify:track:6TL5uq31JarmrpEGTNNyKG,0.565,0.585,1,-5.723,0,0.0536,0.0265,0,0.274,0.259,140.8,audio_features,6TL5uq31JarmrpEGTNNyKG,spotify:track:6TL5uq31JarmrpEGTNNyKG,https://api.spotify.com/v1/tracks/6TL5uq31JarmrpEGTNNyKG,https://api.spotify.com/v1/audio-analysis/6TL5uq31JarmrpEGTNNyKG,210467,5
Why,Bazzi,spotify:track:7lozLnUfzcgEpMMVQI7yhA,0.676,0.67,8,-6.584,1,0.0374,0.353,0,0.103,0.54,113.01,audio_features,7lozLnUfzcgEpMMVQI7yhA,spotify:track:7lozLnUfzcgEpMMVQI7yhA,https://api.spotify.com/v1/tracks/7lozLnUfzcgEpMMVQI7yhA,https://api.spotify.com/v1/audio-analysis/7lozLnUfzcgEpMMVQI7yhA,148260,4
Mine,Bazzi,spotify:track:7uzmGiiJyRfuViKKK3lVmR,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064,4
Honest,Bazzi,spotify:track:11Tfh16o0SW8KdiQdeESEX,0.677,0.594,7,-6.264,1,0.0695,0.309,0,0.118,0.427,76.996,audio_features,11Tfh16o0SW8KdiQdeESEX,spotify:track:11Tfh16o0SW8KdiQdeESEX,https://api.spotify.com/v1/tracks/11Tfh16o0SW8KdiQdeESEX,https://api.spotify.com/v1/audio-analysis/11Tfh16o0SW8KdiQdeESEX,175093,4
Bed,J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,0.684,0.606,5,-7.268,0,0.0504,0.17,0,0.058,0.723,127.901,audio_features,6TlRNJaezOdzdECnQeRuMM,spotify:track:6TlRNJaezOdzdECnQeRuMM,https://api.spotify.com/v1/tracks/6TlRNJaezOdzdECnQeRuMM,https://api.spotify.com/v1/audio-analysis/6TlRNJaezOdzdECnQeRuMM,275107,4
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,spotify:track:7t2bFihaDvhIrd2gn2CWJO,0.805,0.33,1,-8.712,0,0.1,0.22,0,0.105,0.211,121.97,audio_features,7t2bFihaDvhIrd2gn2CWJO,spotify:track:7t2bFihaDvhIrd2gn2CWJO,https://api.spotify.com/v1/tracks/7t2bFihaDvhIrd2gn2CWJO,https://api.spotify.com/v1/audio-analysis/7t2bFihaDvhIrd2gn2CWJO,242983,4
Marvins Room,Drake,spotify:track:047fCsbO4NdmwCBn8pcUXl,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,audio_features,047fCsbO4NdmwCBn8pcUXl,spotify:track:047fCsbO4NdmwCBn8pcUXl,https://api.spotify.com/v1/tracks/047fCsbO4NdmwCBn8pcUXl,https://api.spotify.com/v1/audio-analysis/047fCsbO4NdmwCBn8pcUXl,347227,5
You,Lloyd,spotify:track:6Ap8lYgDbcDOPr9TAXfcnm,0.412,0.876,5,-6.008,0,0.47,0.102,0,0.297,0.703,130.159,audio_features,6Ap8lYgDbcDOPr9TAXfcnm,spotify:track:6Ap8lYgDbcDOPr9TAXfcnm,https://api.spotify.com/v1/tracks/6Ap8lYgDbcDOPr9TAXfcnm,https://api.spotify.com/v1/audio-analysis/6Ap8lYgDbcDOPr9TAXfcnm,273133,5
One Wish,Ray J,spotify:track:5qrzhg9Fmu8Amg2uMhHfe5,0.525,0.652,5,-7.042,0,0.28,0.278,0,0.339,0.602,127.673,audio_features,5qrzhg9Fmu8Amg2uMhHfe5,spotify:track:5qrzhg9Fmu8Amg2uMhHfe5,https://api.spotify.com/v1/tracks/5qrzhg9Fmu8Amg2uMhHfe5,https://api.spotify.com/v1/audio-analysis/5qrzhg9Fmu8Amg2uMhHfe5,337640,4
Think About Me,dvsn,spotify:track:4LkLfPYc3yjOta7Gk8FDRB,0.547,0.294,7,-10.202,1,0.0482,0.0607,0.786,0.0933,0.11,105.027,audio_features,4LkLfPYc3yjOta7Gk8FDRB,spotify:track:4LkLfPYc3yjOta7Gk8FDRB,https://api.spotify.com/v1/tracks/4LkLfPYc3yjOta7Gk8FDRB,https://api.spotify.com/v1/audio-analysis/4LkLfPYc3yjOta7Gk8FDRB,246240,4
My Boo,Usher,spotify:track:68vgtRHr7iZHpzGpon6Jlo,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,audio_features,68vgtRHr7iZHpzGpon6Jlo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo,223440,4
How Do I Breathe,Mario,spotify:track:5d440TqoT5f6SngvbUsleJ,0.684,0.458,5,-8.25,1,0.0303,0.209,0,0.273,0.502,97.96,audio_features,5d440TqoT5f6SngvbUsleJ,spotify:track:5d440TqoT5f6SngvbUsleJ,https://api.spotify.com/v1/tracks/5d440TqoT5f6SngvbUsleJ,https://api.spotify.com/v1/audio-analysis/5d440TqoT5f6SngvbUsleJ,216893,4
Dilemma,Nelly,spotify:track:4nthV2eZAXnt4yiJMocLkG,0.73,0.552,2,-8.177,0,0.146,0.18,6.14e-05,0.224,0.613,168.091,audio_features,4nthV2eZAXnt4yiJMocLkG,spotify:track:4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/tracks/4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/audio-analysis/4nthV2eZAXnt4yiJMocLkG,289173,4
Back At One,Brian McKnight,spotify:track:0WWKJsCjOAhymkdt8GuKTt,0.661,0.346,11,-9.115,1,0.03,0.452,0,0.131,0.256,129.752,audio_features,0WWKJsCjOAhymkdt8GuKTt,spotify:track:0WWKJsCjOAhymkdt8GuKTt,https://api.spotify.com/v1/tracks/0WWKJsCjOAhymkdt8GuKTt,https://api.spotify.com/v1/audio-analysis/0WWKJsCjOAhymkdt8GuKTt,263667,4
A$AP Forever (feat. Moby),A$AP Rocky,spotify:track:1YmF9PvLhIISIANoMLIYGq,0.469,0.78,10,-6.49,0,0.122,0.224,0,0.13,0.444,125.999,audio_features,1YmF9PvLhIISIANoMLIYGq,spotify:track:1YmF9PvLhIISIANoMLIYGq,https://api.spotify.com/v1/tracks/1YmF9PvLhIISIANoMLIYGq,https://api.spotify.com/v1/audio-analysis/1YmF9PvLhIISIANoMLIYGq,233061,4
Do Not Disturb,Teyana Taylor,spotify:track:4f7XW0ffcznF4iVJApiP1S,0.597,0.564,1,-6.968,1,0.23,0.119,0,0.229,0.233,135.914,audio_features,4f7XW0ffcznF4iVJApiP1S,spotify:track:4f7XW0ffcznF4iVJApiP1S,https://api.spotify.com/v1/tracks/4f7XW0ffcznF4iVJApiP1S,https://api.spotify.com/v1/audio-analysis/4f7XW0ffcznF4iVJApiP1S,252667,4
Fashion Killa,A$AP Rocky,spotify:track:40H5libEZWrbkc8HTlXGbt,0.794,0.82,11,-5.214,1,0.152,0.315,0,0.531,0.793,140.042,audio_features,40H5libEZWrbkc8HTlXGbt,spotify:track:40H5libEZWrbkc8HTlXGbt,https://api.spotify.com/v1/tracks/40H5libEZWrbkc8HTlXGbt,https://api.spotify.com/v1/audio-analysis/40H5libEZWrbkc8HTlXGbt,236280,4
PMW (All I Really Need) (feat. ScHoolboy Q),A$AP Rocky,spotify:track:3IvVQ1qmekCQ4LRwGCyIJA,0.697,0.752,1,-4.552,1,0.0526,0.000367,0,0.32,0.269,130.022,audio_features,3IvVQ1qmekCQ4LRwGCyIJA,spotify:track:3IvVQ1qmekCQ4LRwGCyIJA,https://api.spotify.com/v1/tracks/3IvVQ1qmekCQ4LRwGCyIJA,https://api.spotify.com/v1/audio-analysis/3IvVQ1qmekCQ4LRwGCyIJA,234773,4
I Come Apart (feat. Florence Welch),A$AP Rocky,spotify:track:6hP8N6hD4j9zwspKHXoJWW,0.599,0.613,1,-3.42,0,0.0861,0.495,6.49e-06,0.114,0.325,83.765,audio_features,6hP8N6hD4j9zwspKHXoJWW,spotify:track:6hP8N6hD4j9zwspKHXoJWW,https://api.spotify.com/v1/tracks/6hP8N6hD4j9zwspKHXoJWW,https://api.spotify.com/v1/audio-analysis/6hP8N6hD4j9zwspKHXoJWW,217947,4
U Got It Bad,Usher,spotify:track:7J41dYQolQJEtj3UmKLu5r,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,audio_features,7J41dYQolQJEtj3UmKLu5r,spotify:track:7J41dYQolQJEtj3UmKLu5r,https://api.spotify.com/v1/tracks/7J41dYQolQJEtj3UmKLu5r,https://api.spotify.com/v1/audio-analysis/7J41dYQolQJEtj3UmKLu5r,247840,4
Say Goodbye,Chris Brown,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4,0.8,0.502,1,-6.062,1,0.0371,0.00167,0,0.0784,0.388,115.091,audio_features,5F7IJrXD6Fa3EmqoYE0gU4,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4,https://api.spotify.com/v1/tracks/5F7IJrXD6Fa3EmqoYE0gU4,https://api.spotify.com/v1/audio-analysis/5F7IJrXD6Fa3EmqoYE0gU4,289760,4
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,spotify:track:2yr2HnFYl7XvqJk4fXoQBt,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,audio_features,2yr2HnFYl7XvqJk4fXoQBt,spotify:track:2yr2HnFYl7XvqJk4fXoQBt,https://api.spotify.com/v1/tracks/2yr2HnFYl7XvqJk4fXoQBt,https://api.spotify.com/v1/audio-analysis/2yr2HnFYl7XvqJk4fXoQBt,257333,4
Stickwitu,The Pussycat Dolls,spotify:track:5qmXgeIDa1lXB07pgAVlNM,0.548,0.554,9,-6.408,1,0.0587,0.283,0,0.0708,0.382,79.918,audio_features,5qmXgeIDa1lXB07pgAVlNM,spotify:track:5qmXgeIDa1lXB07pgAVlNM,https://api.spotify.com/v1/tracks/5qmXgeIDa1lXB07pgAVlNM,https://api.spotify.com/v1/audio-analysis/5qmXgeIDa1lXB07pgAVlNM,207507,4
Gallery,Mario Vazquez,spotify:track:23op9B31lF72t20r41KBtg,0.593,0.651,9,-6.904,0,0.135,0.0169,0,0.141,0.323,86.535,audio_features,23op9B31lF72t20r41KBtg,spotify:track:23op9B31lF72t20r41KBtg,https://api.spotify.com/v1/tracks/23op9B31lF72t20r41KBtg,https://api.spotify.com/v1/audio-analysis/23op9B31lF72t20r41KBtg,223613,4
7 Days,Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,audio_features,0gPQTLaqHDgdupKEok7J2x,spotify:track:0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/tracks/0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/audio-analysis/0gPQTLaqHDgdupKEok7J2x,235133,4
We Ride,Rihanna,spotify:track:6RXqIGyOGj0zqdpN0Nlv4g,0.394,0.744,5,-5.465,0,0.276,0.00175,0,0.308,0.772,78.696,audio_features,6RXqIGyOGj0zqdpN0Nlv4g,spotify:track:6RXqIGyOGj0zqdpN0Nlv4g,https://api.spotify.com/v1/tracks/6RXqIGyOGj0zqdpN0Nlv4g,https://api.spotify.com/v1/audio-analysis/6RXqIGyOGj0zqdpN0Nlv4g,236680,4
War,Jay Sean,spotify:track:6TZwL2ZR7NFkuIiQrnaZ4P,0.375,0.646,8,-5.536,0,0.199,0.419,0,0.234,0.591,77.026,audio_features,6TZwL2ZR7NFkuIiQrnaZ4P,spotify:track:6TZwL2ZR7NFkuIiQrnaZ4P,https://api.spotify.com/v1/tracks/6TZwL2ZR7NFkuIiQrnaZ4P,https://api.spotify.com/v1/audio-analysis/6TZwL2ZR7NFkuIiQrnaZ4P,225213,4
Lights Off,Jay Sean,spotify:track:229ODebKVfyC0hDP4cQj6z,0.605,0.644,5,-4.906,1,0.0405,0.181,0,0.124,0.261,129.96,audio_features,229ODebKVfyC0hDP4cQj6z,spotify:track:229ODebKVfyC0hDP4cQj6z,https://api.spotify.com/v1/tracks/229ODebKVfyC0hDP4cQj6z,https://api.spotify.com/v1/audio-analysis/229ODebKVfyC0hDP4cQj6z,253253,4
Cry,Jay Sean,spotify:track:3DE48ANMhb9KncuQTCAZvZ,0.668,0.707,7,-6.399,1,0.0311,0.21,0,0.146,0.41,128.011,audio_features,3DE48ANMhb9KncuQTCAZvZ,spotify:track:3DE48ANMhb9KncuQTCAZvZ,https://api.spotify.com/v1/tracks/3DE48ANMhb9KncuQTCAZvZ,https://api.spotify.com/v1/audio-analysis/3DE48ANMhb9KncuQTCAZvZ,274960,4
Stay,Jay Sean,spotify:track:5rC1Y3Mcx7Pxj483rxmqIc,0.579,0.532,9,-7.982,0,0.0889,0.572,0,0.314,0.49,91.289,audio_features,5rC1Y3Mcx7Pxj483rxmqIc,spotify:track:5rC1Y3Mcx7Pxj483rxmqIc,https://api.spotify.com/v1/tracks/5rC1Y3Mcx7Pxj483rxmqIc,https://api.spotify.com/v1/audio-analysis/5rC1Y3Mcx7Pxj483rxmqIc,218507,4
Whatcha Say,Jason Derulo,spotify:track:7xkQdy0cy5ymoWT7nedvLz,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,audio_features,7xkQdy0cy5ymoWT7nedvLz,spotify:track:7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/tracks/7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/audio-analysis/7xkQdy0cy5ymoWT7nedvLz,221253,4
I'm Sprung,T-Pain,spotify:track:4m86EnFXq7PWYJeyE7qVwc,0.714,0.326,0,-11.573,0,0.0917,0.084,0,0.0975,0.182,100.074,audio_features,4m86EnFXq7PWYJeyE7qVwc,spotify:track:4m86EnFXq7PWYJeyE7qVwc,https://api.spotify.com/v1/tracks/4m86EnFXq7PWYJeyE7qVwc,https://api.spotify.com/v1/audio-analysis/4m86EnFXq7PWYJeyE7qVwc,231053,4
Nice For What,Drake,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,audio_features,1cTZMwcBJT0Ka3UJPXOeeN,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN,https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN,210926,4
God's Plan,Drake,spotify:track:6T8cJz5lAqGer9GUHGyelE,0.755,0.448,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179,audio_features,6T8cJz5lAqGer9GUHGyelE,spotify:track:6T8cJz5lAqGer9GUHGyelE,https://api.spotify.com/v1/tracks/6T8cJz5lAqGer9GUHGyelE,https://api.spotify.com/v1/audio-analysis/6T8cJz5lAqGer9GUHGyelE,198960,4
One Dance,Drake,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,audio_features,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
Do Not Disturb,Drake,spotify:track:1JxV2A7IFlmosxlCckJ8Yc,0.618,0.693,7,-5.943,0,0.45,0.246,0,0.112,0.454,170.982,audio_features,1JxV2A7IFlmosxlCckJ8Yc,spotify:track:1JxV2A7IFlmosxlCckJ8Yc,https://api.spotify.com/v1/tracks/1JxV2A7IFlmosxlCckJ8Yc,https://api.spotify.com/v1/audio-analysis/1JxV2A7IFlmosxlCckJ8Yc,283551,4
Just A Dream - Main,Nelly,spotify:track:7pYPpFhFyOwCjf4y7vdJqM,0.552,0.757,1,-6.072,1,0.0294,0.0439,0,0.123,0.0979,89.981,audio_features,7pYPpFhFyOwCjf4y7vdJqM,spotify:track:7pYPpFhFyOwCjf4y7vdJqM,https://api.spotify.com/v1/tracks/7pYPpFhFyOwCjf4y7vdJqM,https://api.spotify.com/v1/audio-analysis/7pYPpFhFyOwCjf4y7vdJqM,237800,4
It Wasn't Me,Shaggy,spotify:track:1lzr43nnXAijIGYnCT8M8H,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,audio_features,1lzr43nnXAijIGYnCT8M8H,spotify:track:1lzr43nnXAijIGYnCT8M8H,https://api.spotify.com/v1/tracks/1lzr43nnXAijIGYnCT8M8H,https://api.spotify.com/v1/audio-analysis/1lzr43nnXAijIGYnCT8M8H,227600,4
Mad,Ne-Yo,spotify:track:7aypCcPYXxoa9wBMe0vjTP,0.731,0.644,0,-5.348,1,0.0343,0.665,0,0.11,0.691,129.94,audio_features,7aypCcPYXxoa9wBMe0vjTP,spotify:track:7aypCcPYXxoa9wBMe0vjTP,https://api.spotify.com/v1/tracks/7aypCcPYXxoa9wBMe0vjTP,https://api.spotify.com/v1/audio-analysis/7aypCcPYXxoa9wBMe0vjTP,254533,4
So High (feat. Ghost Loft),Wiz Khalifa,spotify:track:0odHj0qIf86vHBsXB30IkZ,0.628,0.629,6,-4.829,0,0.0485,0.118,0,0.102,0.3,157.99,audio_features,0odHj0qIf86vHBsXB30IkZ,spotify:track:0odHj0qIf86vHBsXB30IkZ,https://api.spotify.com/v1/tracks/0odHj0qIf86vHBsXB30IkZ,https://api.spotify.com/v1/audio-analysis/0odHj0qIf86vHBsXB30IkZ,249288,4
XO Tour Llif3,Lil Uzi Vert,spotify:track:7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4
Cry Me a River,Justin Timberlake,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,audio_features,7Lf7oSEVdzZqTA0kEDSlS5,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4
Whatever You Like,T.I.,spotify:track:1IAzD1muglOxOcPbUHs70R,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,audio_features,1IAzD1muglOxOcPbUHs70R,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
Love The Way You Lie,Eminem,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,audio_features,6UaRii9AH6Zss9xNMEQ2M9,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,https://api.spotify.com/v1/tracks/6UaRii9AH6Zss9xNMEQ2M9,https://api.spotify.com/v1/audio-analysis/6UaRii9AH6Zss9xNMEQ2M9,263373,4
Bleeding Love,Leona Lewis,spotify:track:7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,audio_features,7wZUrN8oemZfsEd1CGkbXE,spotify:track:7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,262467,4
